"","close","high","low","open","volumefrom","volumeto","CTime","from_sym","to_sym","LastTime"
"167",0.4612,0.4615,0.4612,0.4615,0,0,2018-10-29 14:35:00,"IOTA","USD",2018-10-29 14:28:00
"168",0.5628,0.5807,0.5496,0.5666,13772.34,7751.07,2018-10-29 14:29:00,"ICX","USD",2018-10-29 14:28:00
"169",0.5815,0.5826,0.5625,0.5625,8987.52,5226.24,2018-10-29 14:30:00,"ICX","USD",2018-10-29 14:28:00
"170",0.5941,0.5941,0.5561,0.5561,6730.99,3998.88,2018-10-29 14:31:00,"ICX","USD",2018-10-29 14:28:00
"171",0.5748,0.582,0.5596,0.5708,22416.75,12885.15,2018-10-29 14:32:00,"ICX","USD",2018-10-29 14:28:00
"172",0.5934,0.6194,0.5772,0.5772,272016.41,161414.54,2018-10-29 14:33:00,"ICX","USD",2018-10-29 14:28:00
"173",0.5934,0.5934,0.5934,0.5934,0,0,2018-10-29 14:34:00,"ICX","USD",2018-10-29 14:28:00
"174",0.5905,0.5934,0.5905,0.5934,0,0,2018-10-29 14:35:00,"ICX","USD",2018-10-29 14:28:00
"175",0.002451,0.002455,0.002451,0.002455,2117.54,5.18,2018-10-29 14:29:00,"NEO","BTC",2018-10-29 14:28:00
"176",0.002446,0.00245,0.002445,0.00245,2924.59,7.15,2018-10-29 14:30:00,"NEO","BTC",2018-10-29 14:28:00
"177",0.002445,0.002446,0.002445,0.002445,2327.23,5.69,2018-10-29 14:31:00,"NEO","BTC",2018-10-29 14:28:00
"178",0.002442,0.002445,0.002441,0.002445,3826.12,9.34,2018-10-29 14:32:00,"NEO","BTC",2018-10-29 14:28:00
"179",0.002437,0.002442,0.002435,0.002442,3299.51,8.03,2018-10-29 14:33:00,"NEO","BTC",2018-10-29 14:28:00
"180",0.002437,0.002437,0.002437,0.002437,0,0,2018-10-29 14:34:00,"NEO","BTC",2018-10-29 14:28:00
"181",0.002432,0.002437,0.002432,0.002437,0,0,2018-10-29 14:35:00,"NEO","BTC",2018-10-29 14:28:00
"182",0.007704,0.007717,0.007704,0.007716,4576.96,35.26,2018-10-29 14:29:00,"LTC","BTC",2018-10-29 14:28:00
"183",0.00771,0.007712,0.007708,0.007709,2744.7,21.15,2018-10-29 14:30:00,"LTC","BTC",2018-10-29 14:28:00
"184",0.007713,0.007713,0.007706,0.007709,2629.82,20.29,2018-10-29 14:31:00,"LTC","BTC",2018-10-29 14:28:00
"185",0.007711,0.007713,0.007709,0.007713,2802.86,21.63,2018-10-29 14:32:00,"LTC","BTC",2018-10-29 14:28:00
"186",0.007713,0.007715,0.007713,0.007714,856.61,6.63,2018-10-29 14:33:00,"LTC","BTC",2018-10-29 14:28:00
"187",0.007713,0.007713,0.007713,0.007713,0,0,2018-10-29 14:34:00,"LTC","BTC",2018-10-29 14:28:00
"188",0.00772,0.00772,0.007713,0.007713,0,0,2018-10-29 14:35:00,"LTC","BTC",2018-10-29 14:28:00
"189",9.46,9.47,9.46,9.46,363.42,3437.95,2018-10-29 14:29:00,"BNB","USD",2018-10-29 14:28:00
"190",9.46,9.46,9.45,9.46,781.81,7395.92,2018-10-29 14:30:00,"BNB","USD",2018-10-29 14:28:00
"191",9.46,9.46,9.45,9.46,760.17,7191.21,2018-10-29 14:31:00,"BNB","USD",2018-10-29 14:28:00
"192",9.45,9.45,9.44,9.44,2047.75,19351.24,2018-10-29 14:32:00,"BNB","USD",2018-10-29 14:28:00
"193",9.43,9.44,9.43,9.44,1161.7,10954.83,2018-10-29 14:33:00,"BNB","USD",2018-10-29 14:28:00
"194",9.43,9.43,9.43,9.43,0,0,2018-10-29 14:34:00,"BNB","USD",2018-10-29 14:28:00
"195",9.44,9.44,9.43,9.43,0,0,2018-10-29 14:35:00,"BNB","USD",2018-10-29 14:28:00
"196",0.00001062,0.00001068,0.00001062,0.00001068,19599,0.2084,2018-10-29 14:29:00,"VIBE","BTC",2018-10-29 14:28:00
"197",0.00001062,0.00001062,0.00001062,0.00001062,11077,0.1176,2018-10-29 14:30:00,"VIBE","BTC",2018-10-29 14:28:00
"198",0.00001063,0.00001065,0.00001062,0.00001062,3896,0.04145,2018-10-29 14:31:00,"VIBE","BTC",2018-10-29 14:28:00
"199",0.00001063,0.00001064,0.00001063,0.00001063,34987,0.3719,2018-10-29 14:32:00,"VIBE","BTC",2018-10-29 14:28:00
"200",0.00001068,0.00001078,0.00001063,0.00001063,21719,0.2312,2018-10-29 14:33:00,"VIBE","BTC",2018-10-29 14:28:00
"201",0.00001068,0.00001068,0.00001068,0.00001068,0,0,2018-10-29 14:34:00,"VIBE","BTC",2018-10-29 14:28:00
"202",0.00001061,0.00001068,0.00001061,0.00001068,0,0,2018-10-29 14:35:00,"VIBE","BTC",2018-10-29 14:28:00
"203",0.00007276,0.00007276,0.00007276,0.00007276,0,0,2018-10-29 14:29:00,"IOTA","BTC",2018-10-29 14:28:00
"204",0.00007276,0.00007276,0.00007276,0.00007276,0,0,2018-10-29 14:30:00,"IOTA","BTC",2018-10-29 14:28:00
"205",0.00007276,0.00007276,0.00007276,0.00007276,0,0,2018-10-29 14:31:00,"IOTA","BTC",2018-10-29 14:28:00
"206",0.00007276,0.00007276,0.00007276,0.00007276,0,0,2018-10-29 14:32:00,"IOTA","BTC",2018-10-29 14:28:00
"207",0.00007276,0.00007276,0.00007276,0.00007276,0,0,2018-10-29 14:33:00,"IOTA","BTC",2018-10-29 14:28:00
"208",0.00007276,0.00007276,0.00007276,0.00007276,0,0,2018-10-29 14:34:00,"IOTA","BTC",2018-10-29 14:28:00
"209",0.00007276,0.00007276,0.00007276,0.00007276,0,0,2018-10-29 14:35:00,"IOTA","BTC",2018-10-29 14:28:00
"210",0.000124,0.0001241,0.0001238,0.0001241,17708.3,2.19,2018-10-29 14:29:00,"ZRX","BTC",2018-10-29 14:28:00
"211",0.0001239,0.000124,0.0001237,0.000124,8609.42,1.06,2018-10-29 14:30:00,"ZRX","BTC",2018-10-29 14:28:00
"212",0.0001237,0.0001239,0.0001235,0.0001239,7876.34,0.9736,2018-10-29 14:31:00,"ZRX","BTC",2018-10-29 14:28:00
